deg hall1 accelX accelY
90 741 -0.07 9.77
90 730 -1.72 3.26
90 398 1.91 1.33
90 752 0.74 0.00
90 -15729 0.00 0.00
90 0 5.81 0.00
90 -23593 1.90 0.00
90 -7864 -1.96 0.00
90 689 0.77 6.94
90 735 1.84 2.41
90 666 -0.15 7.05
90 750 -4.54 -0.04
91 766 0.00 0.00
92 767 0.07 0.05
93 756 4.72 0.00
108 31457 0.00 0.00
118 2621 0.00 0.00
131 2621 0.00 0.00
139 -18350 0.00 0.00
139 28836 3.41 0.00
139 567 0.00 0.00
139 7864 3.59 0.00
139 -10486 4.19 0.00
139 23593 0.00 0.00
139 766 0.00 0.00
139 26214 -0.79 0.00
139 745 0.00 0.00
180 -23593 0.00 0.00
180 0 -0.24 0.00
180 -18350 0.00 0.00
180 767 0.00 0.00
180 -15729 0.00 0.00
180 2621 0.00 0.00
180 31457 0.00 0.00
180 701 -1.00 0.00
180 23593 0.00 0.00
180 10486 0.00 0.00
180 31457 0.00 0.00
180 -13107 0.00 0.00
180 26214 3.66 0.00
180 673 0.00 0.00
180 26214 4.15 0.00
180 766 0.00 0.00
180 13107 0.00 0.00
179 -26214 0.00 0.00
180 706 0.00 0.00
180 15729 2.58 0.00
180 887 0.00 0.00
180 13107 0.00 0.00
180 700 0.00 0.00
180 769 0.00 0.00
180 759 0.00 0.00
180 -23593 0.00 0.00
180 -18350 0.00 0.00
180 5243 0.00 0.00
180 -15729 0.64 0.00
180 697 0.00 0.00
180 -10486 1.77 0.00
180 769 0.00 0.00
180 748 0.00 0.00
180 5243 0.00 0.00
180 863 0.00 0.00
180 -13107 0.00 0.00
180 26214 0.00 0.00
180 758 1.92 0.00
180 -28836 0.00 0.00
180 643 0.00 0.00
180 770 0.00 0.00
180 760 0.00 0.00
180 -20972 5.17 0.00
180 713 0.00 0.00
180 5243 0.00 0.00
180 -7864 0.00 0.00
180 769 0.00 0.00
180 28836 0.00 0.00
180 750 0.00 0.00
180 7864 3.72 0.00
180 23593 0.00 0.00
180 730 0.00 0.00
180 769 0.00 0.00
180 -13107 0.00 0.00
180 23593 0.00 0.00
180 -10486 0.00 0.00
180 734 0.00 0.00
180 28836 3.23 0.00
180 -18350 1.43 0.00
180 -20972 0.00 0.00
180 7864 -0.68 0.00
180 -23593 0.08 0.00
180 754 0.00 0.00
180 13107 1.44 0.00
180 10486 4.58 0.00
180 768 0.00 0.00
180 741 0.00 0.00
180 7864 0.00 0.00
180 -23593 -1.10 0.00
180 649 0.00 0.00
180 -18350 0.00 0.00
180 -5243 6.91 0.00
180 757 0.00 0.00
180 -18350 0.00 0.00
180 0 2.69 0.00
180 13107 2.18 0.00
180 23593 0.00 0.00
180 -2621 2.01 0.00
180 766 0.00 0.00
180 -13107 0.00 0.00
180 28836 0.00 0.00
180 -5243 2.95 0.00
180 689 -0.72 0.00
180 596 0.00 0.00
180 -23593 -3.42 0.00
180 18350 1.71 0.00
180 -13107 2.52 0.00
180 768 -2.58 0.00
180 -7864 0.00 0.00
180 23593 3.32 0.00
180 7864 3.06 0.00
180 -13107 -0.02 0.00
180 20972 0.00 0.00
180 15729 0.00 0.00
180 7864 3.63 0.00
180 -13107 0.00 0.00
180 -5243 0.00 0.00
180 18350 0.00 0.00
180 -23593 0.00 0.00
180 764 2.01 0.00
180 -20972 0.00 0.00
180 15729 0.99 0.00
180 732 0.00 0.00
180 513 0.00 0.00
180 -2621 0.00 0.00
180 766 0.00 0.00
180 28836 0.00 0.00
180 729 0.00 0.00
180 18350 0.00 0.00
180 31457 2.52 0.00
180 770 0.00 0.00
136 10486 0.00 0.00
76 769 0.00 0.00
76 -23593 0.00 0.00
46 0 0.00 0.00
29 767 0.00 0.00
29 -7864 1.27 0.00
29 753 0.00 0.00
9 -15729 0.00 0.00
0 -13107 0.00 0.00
0 10486 9.79 0.00
0 23593 8.02 0.00
0 5243 8.74 0.00
0 -15729 7.19 0.00
0 13107 7.02 0.00
0 -26214 8.41 0.00
0 -13107 7.93 0.00
0 28836 8.42 0.00
0 -28836 8.38 0.00
0 13107 8.83 0.00
0 -18350 9.69 0.00
0 26214 9.57 0.00
0 -5243 9.11 0.00
0 2621 9.21 0.00
0 -18350 9.36 0.00
0 31457 9.55 0.00
0 5243 9.74 0.00
0 -10486 9.46 0.00
0 -15729 9.54 0.00
0 28836 9.41 0.00
0 -7864 8.71 0.00
0 28836 9.54 0.00
0 -26214 11.26 0.00
0 2621 9.31 0.00
0 -23593 8.79 0.00
0 -18350 9.18 0.00
0 -15729 9.88 0.00
0 -28836 8.90 0.00
0 26214 9.62 0.00
0 7864 9.25 0.00
0 7864 8.79 0.00
0 -7864 8.62 0.00
0 -5243 9.54 0.00
0 5243 8.00 0.00
0 -5243 10.10 0.00
0 26214 10.28 0.00
1 -23593 8.86 0.00
1 -28836 10.01 0.00
0 -20972 0.00 0.00
0 20972 8.68 0.00
0 -20972 8.74 0.00
0 7864 9.58 0.00
0 20972 9.66 0.00
0 -10486 9.69 0.00
0 -7864 9.51 0.00
0 15729 9.54 0.00
0 -13107 9.51 0.00
0 28836 9.56 0.00
0 -18350 9.55 0.00
0 20972 9.46 0.00
0 -5243 9.43 0.00
0 -5243 9.54 0.00
0 -31457 9.56 0.00
0 -5243 9.57 0.00
0 28836 9.56 0.00
0 2621 9.50 0.00
0 10486 9.49 0.00
0 23593 9.52 0.00
0 13107 9.50 0.00
0 31457 9.55 0.00
0 -5243 9.51 0.00
0 -15729 9.54 0.00
0 31457 9.54 0.00
0 20972 9.51 0.00
0 31457 9.54 0.00
0 -7864 9.53 0.00
0 -15729 9.52 0.00
0 31457 9.55 0.00
0 -15729 9.51 0.00
0 2621 9.52 0.00
0 2621 9.55 0.00
0 20972 9.50 0.00
0 31457 9.54 0.00
0 2621 9.55 0.00
0 31457 9.53 0.00
0 2621 9.53 0.00
0 20972 9.50 0.00
0 -15729 9.51 0.00
0 -15729 9.51 0.00
0 -15729 9.50 0.00
0 2621 9.52 0.00
0 2621 9.53 0.00
0 2621 9.51 0.00
0 2621 9.51 0.00
0 2621 9.53 0.00
0 -15729 9.53 0.00
0 31457 9.52 0.00
0 31457 9.54 0.00
0 31457 9.51 0.00
0 31457 9.55 0.00
0 2621 9.49 0.00
0 2621 9.52 0.00
0 20972 9.53 0.00
0 -15729 9.53 0.00
0 -15729 9.53 0.00
0 2621 9.52 0.00
0 2621 9.52 0.00
0 31457 9.52 0.00
0 2621 9.54 0.00
0 -15729 9.54 0.00
0 20972 9.52 0.00
0 2621 9.54 0.00
0 31457 9.54 0.00
0 2621 9.52 0.00
0 -15729 9.52 0.00
0 2621 9.53 0.00
0 2621 9.50 0.00
0 2621 9.54 0.00
0 20972 9.54 0.00
0 31457 9.54 0.00
0 13107 9.51 0.00
0 -15729 9.53 0.00
0 20972 9.52 0.00
0 13107 9.53 0.00
0 -15729 9.52 0.00
0 -26214 9.54 0.00
0 -15729 9.50 0.00
0 31457 9.55 0.00
0 -15729 9.53 0.00
0 2621 9.53 0.00
0 -15729 9.52 0.00
0 2621 9.53 0.00
0 20972 9.54 0.00
0 31457 9.51 0.00
0 2621 9.54 0.00
0 2621 9.51 0.00
0 13107 9.52 0.00
0 2621 9.52 0.00
0 2621 9.55 0.00
0 20972 9.52 0.00
